username	id	avatar	description
AnAnonymousGifter	274598607)	https://static-cdn.jtvnw.net/jtv_user_pictures/ae7b05c6-c924-44ab-8203-475a2d3e488c-profile_image-70x70.png	?????????????????????????????
AnAnonymousCheerer	407665396)	https://static-cdn.jtvnw.net/jtv_user_pictures/4ea74e95-fba2-44f6-ab44-ebb4f19b8e24-profile_image-70x70.png	
