noteId	participantId	createdAtMillis	tweetId	classification	believable	harmful	validationDifficulty	misleadingOther	misleadingFactualError	misleadingManipulatedMedia	misleadingOutdatedInformation	misleadingMissingImportantContext	misleadingUnverifiedClaimAsFact	misleadingSatire	notMisleadingOther	notMisleadingFactuallyCorrect	notMisleadingOutdatedButNotWhenWritten	notMisleadingClearlySatire	notMisleadingPersonalOpinion	trustworthySources	summary
1352796878438424576	6B6171E803FBBF58397EC4A0AF76A2FF	1611366884227	1352796618504892420	MISINFORMED_OR_POTENTIALLY_MISLEADING	BELIEVABLE_BY_MANY	LITTLE_HARM	EASY	0	0	0	1	1	0	0	0	0	0	0	0	1	This Tweet is partially true, but misleading. A look at the city archives shows that the image in the Tweet actually comes from a planned april fools day prank.    Here’s the city hall press release in the archives: http://officialsource...   
1352797062899789824	0466BA47B23AAAB301AA767C4C780E8D	1611366928207	1352796618504892420	MISINFORMED_OR_POTENTIALLY_MISLEADING	BELIEVABLE_BY_MANY	LITTLE_HARM	CHALLENGING	0	0	0	1	0	1	0	0	0	0	0	0	1	This is an actual photo, but from an April Fools day joke the city played last year. No sparkling water soon. See the city paper’s coverage of the joke: http://localnewssource...
